opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
UAL,UNITED AIRLINES,B-727,"STRUCK BIRDS, NO DAMAGE. TIME = 1917 LCL. TOO DARK TO  MAKE A REASONABLE DESCRIPTION & CALCULATION OF BIRDS.",Climb,12/30/1996 0:00:00,DC,1000.0,150.0,None,No Cloud,UNKNOWN BIRD,2-10
GAA,BUSINESS EXPRESS,SAAB-340,,Landing Roll,11/5/1995 0:00:00,ME,0.0,120.0,None,No Cloud,SNOW BUNTING,11-100
BUS,BUSINESS,B-727,NO DAMAGE,Approach,11/5/1995 0:00:00,ME,15.0,90.0,None,No Cloud,SNOW BUNTING,2-10
AAH*,ALOHA AIRLINES,B-737-200,NO DAMAGE,Landing Roll,4/15/1996 0:00:00,HI,0.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737-200,,Landing Roll,12/17/1996 0:00:00,NM,0.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
BUS,BUSINESS,C-441 CONQUE,DENT ABOUT 1' LONG ON FRONT L BAGGAGE DOOR.,Climb,1/30/1996 0:00:00,FL,2000.0,180.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,MD-80,TIME = 1532 LCL. FLT 2308,Approach,8/31/1997 0:00:00,NC,200.0,125.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,"CAPT'S CLEARVIEW WINDOW WAS CLEANED, INSPCTD, NO DEFECTS NOTED.",Approach,10/10/1996 0:00:00,OH,300.0,135.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,,Landing Roll,2/18/1996 0:00:00,CT,0.0,110.0,None,Some Cloud,SPARROWS,1
AWE,AMERICA WEST AIRLINES,B-737,NO DAMAGE REPTD. BIRD WAS STRUCK OVER ARPT THRESHOLD. FLT 89.  TIME = 1443 PST.,Approach,2/18/1996 0:00:00,CA,300.0,135.0,None,,HAWKS,1
PVT,PRIVATELY OWNED,BE-36,"BIRD HIT OUTER LE OF RT WING. DENT APPROX 8"" X 10""",En Route,2/18/1996 0:00:00,CA,1300.0,130.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,FK-100,,Climb,11/1/1996 0:00:00,TN,25.0,140.0,None,Overcast,SPARROWS,2-10
PVT,PRIVATELY OWNED,PA-44 SEMINOLE,,Approach,11/22/1995 0:00:00,FL,350.0,100.0,None,No Cloud,GULLS,1
AAL,AMERICAN AIRLINES,FK-100,AT ROTATION RWY INCOORECTLY REPD AS 20C.,Take-off run,7/10/1995 0:00:00,MI,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
NWA,NORTHWEST AIRLINES,DC-9-50,,Landing Roll,7/7/1993 0:00:00,MI,0.0,100.0,None,Overcast,KILLDEER,1
BUS,BUSINESS,CL-RJ100/200,"NOT A STRIKE. 3 DOGS AND 2 PEOPLE RAN ACROSS RWY IN FRONT OF A/C CAUSING IT TO  ABORT T/O.  AS A/C EXITED RYW AND ATTEMPTED TO TAXI BACK FOR  DEPT, DOGS & PEOPLE RAN IN FRONT OF A/C AGAIN, CAUSING THEM TO  STOP. A/C WAS UNABLE TO STOP W/O CAUSING A SAFETY PROBLEM & PILOT  DIDN'T SEEM UPSET ABOUT INCIDENT. ARPT OPS PICKED UP PEOPLE &  DOGS & TRANSPORTED THEM TO ARPT OFFICES.  DOGS GOT AWAY FROM PAX ON ANOTHER A/C AT RAMP.",Take-off run,12/18/1995 0:00:00,CO,0.0,120.0,Aborted Take-off,,DOMESTIC DOG,1
AAL,AMERICAN AIRLINES,A-300,FLT 602 NO DAMAGE.,Approach,10/25/1995 0:00:00,NJ,3000.0,250.0,None,No Cloud,BLACKBIRDS,1
USA,US AIRWAYS,MD-80 SERIES,EAGLE/HAWK. NO DAMAGE FOUND.,Approach,12/2/1995 0:00:00,FL,1000.0,140.0,None,No Cloud,"HAWKS, EAGLES, VULTURES",1
ASA,ALASKA AIRLINES,B-737-400,"SITKA BLACK-TAIL DEER. STRUCK DEER WITH L MAIN GEAR & BRAKE  LINE. SAW DEER AHEAD & SLIGHTLY LEFT DURING THE FLARE WITH PWR AT  IDLE. VERY SLIGHT IMPACT WAS FELT. BRAKING DECELRATION WAS NORMAL  ALTHOUGH ""ANTI-SKID INOP"" AND ""AUTO BRAKE DISARM"" LIGHTS WERE  ILLUMINATED. ALTHOUGH ARPT IS FENCED, DEER MAY HAVE SWAM IN THE  RIVER OR THERE MAY BE A BREAK IN THE FENCE.",Landing Roll,12/3/1995 0:00:00,AK,0.0,105.0,None,Some Cloud,MULE DEER,1
USA,US AIRWAYS,B-737-400,,Approach,11/4/1995 0:00:00,PA,900.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,C-310, LARGE BIRD (BUZZARD)  CRASHED THRU WINDSHLD. NO OTHER REPTD DAMAGE OR INJURIES.,Approach,1/10/1996 0:00:00,FL,300.0,135.0,Other,,VULTURES,1
UFS,UFS-UNITED EXPRESS,BA-ATP,NO DAMAGE OBSV BY MAINT. FLT 5740.,Approach,9/7/1996 0:00:00,IL,500.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
UAL,UNITED AIRLINES,B-737-200,"FLT 1621 HAD A COMPRESSOR STLL AT ROTATION. TOWER ALERTED PILOT  OF SPARKS & SMOKE FROM L ENG. PILOT SHUT ENG DOWN & RETD TO KABE.  HE BELIEVED THERE HAD BEEN A BIRD INGESTION. TIME = 2139Z. NO  INJURIES. # OF BIRDS STRUCK NOT REPTD, ASSUME 1.",Take-off run,9/7/1996 0:00:00,PA,0.0,120.0,Engine Shut Down,Overcast,UNKNOWN BIRD,1
BUS,BUSINESS,PA-31 NAVAJO,NO DAMAGE  TIME =1646LCL,En Route,7/29/1996 0:00:00,NE,4000.0,165.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,"NO DAMAGE, 4"" AREA WITH BLOOD.",Approach,5/21/1996 0:00:00,NY,1000.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,,Take-off run,5/22/1996 0:00:00,IL,0.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,MIGRATORY WATERFOWL,Landing Roll,5/23/1996 0:00:00,TX,0.0,100.0,None,Some Cloud,"DUCKS, GEESE, SWANS",1
EGF,AMERICAN EAGLE AIRLINES,SAAB-340,FLT 619 HIT A DUCKS ON FINAL AT 0020Z. NO DAMAGE,Approach,1/14/1997 0:00:00,TX,600.0,140.0,None,Overcast,DUCKS,2-10
PVT,PRIVATELY OWNED,PA-28,STRUCK DEER AT T/D. DAMAGED 3 RIBS ON R WING & DENTED FUEL TANK.,Landing Roll,5/3/1996 0:00:00,FL,0.0,50.0,None,No Cloud,WHITE-TAILED DEER,1
DAL,DELTA AIR LINES,B-737-200,"BIRD PASSED DOWN STRBD SIDE OF A/C & APPEARED TO HAVE MISSED A/C.  INSPN FOUND 4"" HOLE HALFWAY OUT ON STBD HORIZ STAB W/ SOME BIRD  REMAINS IN IT. A/C HANDLED NORMALLY.",Climb,2/22/1997 0:00:00,FL,1000.0,200.0,None,No Cloud,TURKEY VULTURE,1
JAL,JAPAN AIRLINES,B-747-400,,Approach,5/24/1996 0:00:00,WA,1800.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
TWA,TRANS WORLD AIRLINES,DC-9-10,FLT 584. BIRD HIT FUSELAGE AT COPILOT'S FEET. NO DAMAGE.,Climb,5/24/1996 0:00:00,NE,500.0,158.0,None,Overcast,GULLS,1
RBD,TRANS WORLD EXPRESS,ATR-42,BLOOD ON WNDSHLD. NO DAMAGE. REPTD TO ROC,Approach,11/4/1995 0:00:00,VA,1000.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,C-150,"A/C STRUCK A DEER ON DEPARTING SKY ACRES. LANDED AT DUTCHESS CO.  ARPT. W/O INCIDENT. ARFF RESPONDED & REPTD NO INJURIES. A/C  TAXIED TO RAMP. BOTH SIDES OF LOWER COWL SEVERELY DENTED. EXHAUST  PIPES BOTH FLATTENED. PROP STRUCK 18"" IN FROM BOTH TIPS. NOSE  STRUT HAD EVIDENCE OF TRAUMA. INSURANCE CO. TOTALLED A/C.",Take-off run,11/20/1996 0:00:00,NY,0.0,50.0,Precautionary Landing,No Cloud,WHITE-TAILED DEER,1
USA,US AIRWAYS,B-737-300,NO DAMAGE. STRUCK BEHIND COCKPIT,Approach,11/13/1996 0:00:00,PA,800.0,140.0,None,Some Cloud,GULLS,1
DAL,DELTA AIR LINES,B-737-200,STANDARD ATIS BIRD COMMENTS. NO DAMAGE.  MIST.,Take-off run,2/1/1997 0:00:00,MA,0.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,DC-9-30,FLT 1510. EXTENT OF DAMAGE UNKN. NO SHUT DOWN OR FAILURE. BIRD  INGESTED IN ENG #1. A/C DECLARED EMERGENCY & RETD TO LAND W/O  INCIDENT. ARFF RESPONDED & A/C TAXIED TO RAMP. ENG REMOVED FOR  SHOP REPAIRS (PERS COMM FROM P&W),Take-off run,3/16/1996 0:00:00,DC,0.0,128.0,Precautionary Landing,No Cloud,RING-BILLED GULL,1
PVT,PRIVATELY OWNED,C-182 SKYLAN,,Landing Roll,3/15/1993 0:00:00,CA,0.0,70.0,None,No Cloud,SPARROWS,1
TWA,TRANS WORLD AIRLINES,MD-80,"FLT312 INGESTED A BIRD IN #2 ENG DURING T/O.  EMERGENCY  PROCEDURES WERE EFFECTED & FLT RETD TO LAND AT SMF.  NO INJURIES.  ENG. REPLACED. FLT 312 WAS CANCELLED AND 132 PAX WERE PUT ON  OTHER FLTS.  A/C OUT OF SERVICE 1130 04 DEC TO 0830 07 DEC.  REPAIR COSTS $175,000, MAINT. PERSONNEL-$12,000, TRANSPORT ENGS -  $10,000, LOST REV.-$12,000 AND HOTELS/MEALS-$2,000. TOTAL OST  $211,000.",Take-off run,12/4/1995 0:00:00,CA,0.0,120.0,Precautionary Landing,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE,Climb,9/25/1995 0:00:00,MO,400.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,DC-10,NO DAMAGE.,Landing Roll,12/13/1994 0:00:00,CA,0.0,120.0,None,Overcast,OWLS,1
EGF,AMERICAN EAGLE AIRLINES,ATR-42,,Take-off run,7/25/1995 0:00:00,IL,0.0,120.0,Aborted Take-off,Some Cloud,AMERICAN KESTREL,1
BLR,ATLANTIC COAST AIRLINES,BA-31 JETSTR,"BIRD STRUCK ABOVE L SIDE WINDHLD, NO APPARENT DAMAGE.",Descent,10/3/1996 0:00:00,DC,4000.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
EGF,AMERICAN EAGLE AIRLINES,SAAB-340,,Take-off run,9/13/1995 0:00:00,TN,0.0,120.0,None,Overcast,MALLARD,1
AAL,AMERICAN AIRLINES,FK-100,ATIS WARNED OF BIRD ACTIVITY. NO APPARENT DAMAGE.,Climb,1/30/1996 0:00:00,IL,400.0,180.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,MOONEY-20J,NO DAMAGE.,Take-off run,9/2/1993 0:00:00,PA,0.0,70.0,None,Overcast,MOURNING DOVE,1
AAH*,ALOHA AIRLINES,B-727-200,ATIS WARNING. OWL IS A PROTECTED SPECIES. ID BY USDA/WS FLT 220.   TIME = 2147PDT.,Take-off run,6/12/1997 0:00:00,HI,0.0,125.0,None,Some Cloud,SHORT-EARED OWL,1
DAL,DELTA AIR LINES,B-727,UNUSUAL BECAUSE IT WAS DARK. TIME = 1845 LCL. SHIP 497,Descent,10/26/1995 0:00:00,SC,8000.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,C-650,,Take-off run,10/6/1995 0:00:00,IL,0.0,120.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
PAA,PAN AM,B-727-200,HIT CAPT'S WINDSHLD DEAD CENTER. NO APPARENT DAMAGE OR INGESTION.  BIRD SEEN AS A BLUR 1/2 SEC PRIOR TO IMPACT. TIME = 1839Z.,Climb,4/2/1991 0:00:00,DC,1250.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,2-10
BUS,BUSINESS,C-560,ATIS WARNING & STANDNG NOTAM RE: BIRD ACTIVITY.,Approach,11/20/1996 0:00:00,NJ,20.0,135.0,None,Some Cloud,RED-TAILED HAWK,1
DAL,DELTA AIR LINES,B-767,FLT 469 NO DAMAGE,Approach,10/28/1995 0:00:00,UT,5000.0,135.0,None,,UNKNOWN BIRD,1
ASH,MESA AIRLINES,BE-1900,SMALL DENT ON RT OUTBOARD PART OF WING.,Descent,6/4/1997 0:00:00,PA,2000.0,170.0,None,,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-400,STRUCK L SIDE CAPT'S WINDSHLD ON THE POST. NO VISIBLE DAMAGE.,Take-off run,5/5/1996 0:00:00,IN,0.0,120.0,None,Overcast,SPARROWS,1
UPS,UPS AIRLINES,B-757-200,"FLT 365, PART OF A/C STRUCK, UNKNOWN.",Take-off run,9/9/1995 0:00:00,AL,0.0,120.0,None,Some Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,"INSPCTN FOUND LOCATION OF IMPACT, BUT NO DAMAGE.",Approach,5/9/1993 0:00:00,VA,700.0,130.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737,"BIRD ADVISORY IN ARPT DIRECTORY. FLT 380.  MIST & HAZE. BIRD REPTD AS DOVE, ASSUME MOURNING DOVE FROM LOCATION.",Take-off run,8/4/1996 0:00:00,AL,0.0,145.0,None,Some Cloud,MOURNING DOVE,1
UNK,UNKNOWN,UNKNOWN,DAY,Landing Roll,8/29/1995 0:00:00,IL,0.0,105.0,None,No Cloud,WOODCHUCK,1
AAL,AMERICAN AIRLINES,B-757-200,"POSSIBLY GOOSE, DUCK OR GULL. NO INJURIES. LRG BLOOD STAIN ON RT  SIDE OF NOSE.",Approach,4/14/1993 0:00:00,NJ,700.0,132.0,None,Overcast,UNKNOWN BIRD - LARGE,1
SDU,WESTAIR COMMUTER,BA-31 JETSTR,,Approach,1/16/1995 0:00:00,CA,400.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
NWA,NORTHWEST AIRLINES,B-747-1/200,"BLOOD ON FUSELAGE, NO DAMAGE.",Approach,6/8/1997 0:00:00,AK,150.0,160.0,None,Overcast,BANK SWALLOW,1
AAL,AMERICAN AIRLINES,DC-9-80,BIRD HIT F/O'S  SIDE NEAR HIS FEET. NO DAMAGE. INSPCTD BY MAINT.,Landing Roll,7/19/1997 0:00:00,FL,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,DC-9-30,,Climb,6/11/1996 0:00:00,PA,35.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,HWKR SD-125,"A/C RETRND TO ARPT AND COULD NOT DEPART AGAIN.  NO INJURIES.  SEVERAL GULL PARTS IN LEFT ENG.  PILOT REPTD SEVRL BIRDS AT END  OF RY, BUT DIDN'T SEE THEM UNTIL HE WAS THERE.",Climb,5/5/1993 0:00:00,UT,15.0,125.0,Precautionary Landing,Some Cloud,GULLS,2-10
BUS,BUSINESS,LEARJET-35,HAWK?  DAMAGED NACELLE LIP & #2 ENG. #2 ENG FAILED.,Take-off run,10/12/1995 0:00:00,CA,0.0,120.0,Aborted Take-off,Overcast,HAWKS,1
TWA,TRANS WORLD AIRLINES,B-727,NO DAMAGE FOUND,Approach,4/30/1993 0:00:00,MO,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,BE-300 KING,4 DEER RAN ONTO RWY DURING LANDING ROLL. LAST DEER WAS HIT WITH L  ENG & PROP.,Landing Roll,8/21/1996 0:00:00,MO,0.0,32.0,None,No Cloud,WHITE-TAILED DEER,1
COA,CONTINENTAL AIRLINES,DC-9,FLT 1230 NO REPTD DAMAGE,Landing Roll,11/10/1995 0:00:00,OK,0.0,105.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,DHC8 DASH 8,,Approach,11/10/1995 0:00:00,AL,200.0,100.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
DAL,DELTA AIR LINES,B-757-200,"ASSUMED NO SIGNIFICANT DAMAGE HAD OCCURRED BUT ON DESCENT, AT 32000',  RADOME IMPLODED & SPLIT NECESSITATING A CHANGE OF ANTENNA &  RADOME.",Climb,11/10/1995 0:00:00,TX,2000.0,210.0,Other,No Cloud,UNKNOWN BIRD - SMALL,1
UAL,UNITED AIRLINES,B-737,,Approach,5/5/1996 0:00:00,IL,20.0,160.0,None,Overcast,GULLS,1
BTA,EXPRESSJET (CONTINENTAL EXPRS),ATR-42,"FLT 2768 RETD TO IAH, LANDING W/O INCIDENT. NO REPT OF  INJURIES OR DAMAGE.",Climb,10/27/1995 0:00:00,TX,200.0,150.0,Precautionary Landing,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,SMALL BLACK BIRDS. NO DAMAGE EXCEPT BLOOD SMEARS.,Approach,4/2/1995 0:00:00,TX,800.0,140.0,None,No Cloud,BLACKBIRDS,1
AAL,AMERICAN AIRLINES,B-727-200,,Landing Roll,4/3/1992 0:00:00,TN,0.0,100.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,B-757-200,NO KNOWN DAMAGE,Take-off run,4/5/1992 0:00:00,,0.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
UAL,UNITED AIRLINES,B-737,2 BIRDS STRUCK R WING 6-8 MI OUT.,Approach,12/26/1993 0:00:00,IL,300.0,135.0,None,,GULLS,2-10
PVT,PRIVATELY OWNED,HOMEBUILT,"WINDSHIELD SHATTERED, BLOOD & BODY PARTS SCATTERED THROUGHOUT THE  INTERIOR. 1 MINOR INJURY. CANOPY WAS REPLACED.",En Route,9/3/1996 0:00:00,TX,2000.0,175.0,Precautionary Landing,Some Cloud,VULTURES,1
SWA,SOUTHWEST AIRLINES,B-737-200,,Approach,8/31/1997 0:00:00,IL,2600.0,170.0,None,No Cloud,BLACKBIRDS,1
AAL,AMERICAN AIRLINES,DC-9-80,"NO DAMAGE. # STRUCK NOT REPTD, ASSUME 1.",Climb,9/7/1993 0:00:00,IL,7000.0,250.0,None,Some Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-757-200,"AT ROTATION, BIRD WAS SEEN IN FRONT OF NOSE. STRONG SMELL OF  BURNED BIRD THROUGHOUT A/C DURING CLIMBOUT.  NO ABNORMAL  INDICATIONS NOTED. ENG RAN NORMALLY.  BIRD REMAINS FOUND INSIDE  RT ENG NACELLE IN VICINITY OF 1ST STAGE FAN.  GULL OR PIGEON.  INGESTION.",Take-off run,10/30/1995 0:00:00,CA,0.0,135.0,Other,Overcast,UNKNOWN BIRD - MEDIUM,1
COM,COMAIR AIRLINES,SAAB-340,FLT 3001 RETD TO RAMP. NO DAMAGE.,Take-off run,10/30/1995 0:00:00,KY,0.0,120.0,Aborted Take-off,Some Cloud,EUROPEAN STARLING,2-10
UPS,UPS AIRLINES,B-757-200,"FLT152 STRUCK BIRD, NO DAMAGE.",Landing Roll,3/23/1996 0:00:00,PA,0.0,130.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,BE-100 KING,"ENCOUNTERED GEESE 1000' DOWN RWY. NO INJURIES. TOW LIGHTS & NOSE  GEAR DOOR DAMAGED, LEFT EXHAUST STACK DENTED, LEFT MAIN DOOR  DAMAGED.",Take-off run,9/1/1995 0:00:00,IN,0.0,75.0,Aborted Take-off,No Cloud,CANADA GOOSE,2-10
DAL,DELTA AIR LINES,B-727-200,BIRD WAS GRAY AND WHITE FEATHERS.,En Route,8/8/1996 0:00:00,OH,10000.0,320.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,FK-100,,Approach,5/21/1996 0:00:00,OH,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,LEARJET-60,LANDED AT 1958E & STRUCK A DEER. ARFF RESPONDED & A/C TAXIED TO  RAMP W/O INCIDENT.,Landing Roll,5/26/1996 0:00:00,VA,0.0,105.0,None,,WHITE-TAILED DEER,1
AAL,AMERICAN AIRLINES,MD-83,FLT 1825 HAD NO DAMAGE.,Take-off run,8/18/1996 0:00:00,VA,0.0,115.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,MD-80,"UNKN WHERE BIRD STRUCK. PILOT REPTD NO DAMAGE. CITY PICKED UP ON  DEAD DOVE.FLT 2250. REPTD AS DOVE, ASSUME MOURNING.",Landing Roll,8/20/1996 0:00:00,NC,0.0,105.0,None,Some Cloud,MOURNING DOVE,1
UAL,UNITED AIRLINES,B-737,ATIS WARNING. FLT 383,Approach,9/14/1996 0:00:00,NE,250.0,140.0,None,No Cloud,BLACKBIRDS,1
BUS,BUSINESS,CITATION II,"HAZE. CAPT'S WINDOW HIT & HAD DEEP SCRATCHES 8-10"" LONG. A/C WAS  FERRIED HOME UPON INSPN.",Approach,5/1/1997 0:00:00,PA,50.0,110.0,None,Overcast,HAWKS,1
BUS,BUSINESS,BE-90  KING,NO DAMAGE OR EFFECT ON FLT,Descent,9/20/1995 0:00:00,PA,270.0,130.0,None,Overcast,SPARROWS,1
AAL,AMERICAN AIRLINES,DC-9-80,,Take-off run,4/29/1995 0:00:00,TX,0.0,100.0,None,,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,PA-31 NAVAJO,SPARROW-LIKE BIRDS.,Take-off run,8/18/1995 0:00:00,MI,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
AAL,AMERICAN AIRLINES,MD-83,NOSE LTS ON BRIGHT,Approach,1/19/1995 0:00:00,TX,50.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
PVT,PRIVATELY OWNED,BE-35,,Climb,1/20/1995 0:00:00,FL,750.0,90.0,None,No Cloud,GULLS,1
UAL,UNITED AIRLINES,B-727,,Approach,8/24/1994 0:00:00,IL,300.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
USA,US AIRWAYS,B-737,FLT 185 ON 4NM FINAL HAD A BIRD STRIKE ATO 2035C CAUSING  DAMAGE TO NOSE DOME WHICH HAD TO BE REPLACED & #2 ENG COWLING.  OIL COOLER ON #2 ENG WAS REPLACED.  FLT LANDED W/O INCIDENT.,Approach,3/20/1996 0:00:00,NM,1500.0,135.0,None,No Cloud,UNKNOWN BIRD - LARGE,2-10
AWE,AMERICA WEST AIRLINES,B-727-200,,Approach,9/26/1995 0:00:00,OH,1000.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,DC-9-30,2 BIRDS HIT. 1 CRACKED F/O'S WINDOW.,Climb,11/5/1995 0:00:00,PA,1500.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
UNK,UNKNOWN,UNKNOWN,TWO GULLS NO DAMAGE REPTD. FOUND DURING DAY. ASSUME RBGU. RBGU  COMPRISED EQUAL TO OR GREATER THAN 90% OF GULLS OBSERVED ON ARPT DURING MONTH OF STRIKE.,Landing Roll,4/27/1996 0:00:00,DC,0.0,105.0,None,No Cloud,RING-BILLED GULL,2-10
ROA,RENO AIR,MD-87,NO DAMAGE,Landing Roll,4/28/1996 0:00:00,CA,0.0,105.0,None,No Cloud,UNKNOWN BIRD - LARGE,1
GOV,GOVERNMENT,B-727,JUD 530 ABTD T/O AFTER REPTD A BIRD STRIKE. A/C TAXIED BACK AND  DEPTD NORMALLY 20 MIN LATER. PILOT INSPCT A/C & FOUND NOSE  DAMAGE. TIME = 0833PDT,Take-off run,4/30/1996 0:00:00,CA,0.0,100.0,Aborted Take-off,No Cloud,HERONS,1
NWA,NORTHWEST AIRLINES,DC-9,,Landing Roll,7/28/1996 0:00:00,KY,0.0,105.0,None,Some Cloud,MOURNING DOVE,1
USC,AIRNET EXPRESS,PA-31 NAVAJO,TIME = 0845 LCL. NO DAMAGE.,Climb,8/7/1997 0:00:00,OH,5.0,150.0,None,Some Cloud,SPARROWS,1
ROA,RENO AIR,MD-83,,Take-off run,12/29/1995 0:00:00,CA,0.0,130.0,None,Overcast,GULLS,2-10
PVT,PRIVATELY OWNED,MOONEY-20J,NO DAMAGE,Landing Roll,5/31/1996 0:00:00,CT,0.0,105.0,None,No Cloud,GULLS,1
USA,US AIRWAYS,B-737,FLT 1232. DAMAGE UNKN. RT SIDE OF FUSELAGE HIT.,Take-off run,1/2/1996 0:00:00,NC,0.0,120.0,Other,Overcast,GULLS,1
BUS,BUSINESS,CL-601/604,1 BENT FAN BLADE,Climb,11/17/1996 0:00:00,CA,500.0,180.0,Precautionary Landing,Overcast,GULLS,1
AAL,AMERICAN AIRLINES,MD-83,"BIRD HAD DARK FEATHERS & A 24"" WINGSPAN.  SIX BIRDS SEEN JUST  BEFORE IMPACT. 3 BROKE LT AND 3 BROKE RT. 2 OF RT ONES APPEARED  TO GLANCE OFF UPPER RT SIDE OF FUSELAGE. CONT FLT TO DFW.",Climb,11/17/1996 0:00:00,CA,300.0,180.0,None,Overcast,UNKNOWN BIRD - MEDIUM,2-10
USA,US AIRWAYS,B-737-400,1 BIRD FLYING STRAIGHT & LEVEL TOWARDS US HIT DIRECTLY O F/O  WINDSHLD.,Approach,9/27/1997 0:00:00,NC,1650.0,160.0,None,Overcast,EUROPEAN STARLING,1
UNK,UNKNOWN,UNKNOWN,"FOUND AT 1708 LCL, A PENINSULA COOTER  ON TWY A @ A8. DAY.",Taxi,9/27/1997 0:00:00,FL,0.0,12.5,None,Overcast,TURTLES,1
UPS,UPS AIRLINES,B-727,"NO DAMAGE, JUST BLOODY REMAINS ON WINDSHLD.",Climb,10/25/1995 0:00:00,MO,300.0,160.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-400,,Climb,10/25/1995 0:00:00,PA,200.0,150.0,None,,UNKNOWN BIRD - SMALL,1
UPS,UPS AIRLINES,B-727,NO DAMAGE.,Approach,10/26/1993 0:00:00,KY,2500.0,170.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
SWA,SOUTHWEST AIRLINES,B-737-300,A/C RETD TO MIDWAY AFTER INGESTING GULLS IN #1 ON T/O.  EMERGENCY  EQUIPMNT CALLED OUT.  A/C LANDED W/O INCIDENT. ENG WAS NOT SHUT  DOWN. EXTENT OF DAMAGE NOT REPTD.,Take-off run,7/4/1993 0:00:00,IL,0.0,130.0,Precautionary Landing,Some Cloud,GULLS,2-10
BUS,BUSINESS,C-310,ENRT IFR BAK TO W551. 5 SW FEP STRUCK LARGE BIRD. DIVERTED TO  RFD. LARGE HOLE IN NOSE OF A/C. EMERGENCY EQUIPMENT STANDING BY.   (SECOND REPT STATES FRONT COWLING. PHOTO SHOWS LARGE HOLE IN  COWLING. A/C LANDED W/O INCID.  PHOTO ENCLOSED,En Route,11/3/1995 0:00:00,IL,4000.0,130.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD - LARGE,1
